did,name,instances,features,classes,cells,target_column,processing_time_seconds,status,output_path
46435,Apple_Stock_Price_Trends_Classification,2516.0,23.0,3.0,57868.0,target,0.5653219223022461,success,data/spark/datasets_parquet/46435_Apple_Stock_Price_Trends_Classification
41919,CPMP-2015-runtime-classification,527.0,23.0,4.0,12121.0,algorithm,0.32230401039123535,success,data/spark/datasets_parquet/41919_CPMP-2015-runtime-classification
1447,CastMetal1,327.0,38.0,2.0,12426.0,def,0.2981913089752197,success,data/spark/datasets_parquet/1447_CastMetal1
1446,CostaMadre1,296.0,38.0,2.0,11248.0,def,0.30244946479797363,success,data/spark/datasets_parquet/1446_CostaMadre1
46416,Creditability-German-Credit-Data,1000.0,21.0,2.0,21000.0,creditability,0.296217679977417,success,data/spark/datasets_parquet/46416_Creditability-German-Credit-Data
46562,German-Credit-Data-Creditability-Preprocessed-Dataset,1000.0,34.0,2.0,34000.0,creditability,0.349668025970459,success,data/spark/datasets_parquet/46562_German-Credit-Data-Creditability-Preprocessed-Dataset
44417,Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,25.0,2.0,50000.0,target,0.18722009658813477,success,data/spark/datasets_parquet/44417_Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44400,MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,11.0,2.0,22000.0,class,0.18028473854064941,success,data/spark/datasets_parquet/44400_MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True
1449,MeanWhile1,253.0,38.0,2.0,9614.0,def,0.2888338565826416,success,data/spark/datasets_parquet/1449_MeanWhile1
1442,MegaWatt1,253.0,38.0,2.0,9614.0,def,0.264723539352417,success,data/spark/datasets_parquet/1442_MegaWatt1
1451,PieChart1,705.0,38.0,2.0,26790.0,def,0.3058183193206787,success,data/spark/datasets_parquet/1451_PieChart1
1443,PizzaCutter1,661.0,38.0,2.0,25118.0,def,0.26590728759765625,success,data/spark/datasets_parquet/1443_PizzaCutter1
46951,Pumpkin_Seeds,2500.0,13.0,2.0,32500.0,SeedType,0.1752920150756836,success,data/spark/datasets_parquet/46951_Pumpkin_Seeds
337,SPECTF,349.0,45.0,2.0,15705.0,OVERALL_DIAGNOSIS,0.276517391204834,success,data/spark/datasets_parquet/337_SPECTF
40704,Titanic,2201.0,4.0,2.0,8804.0,class,0.15525245666503906,success,data/spark/datasets_parquet/40704_Titanic
46880,air-quality-and-pollution-assessment,5000.0,10.0,4.0,50000.0,Air_Quality,0.16082072257995605,success,data/spark/datasets_parquet/46880_air-quality-and-pollution-assessment
46279,algerian_forest_fires,243.0,14.0,2.0,3402.0,Classes,0.2414252758026123,success,data/spark/datasets_parquet/46279_algerian_forest_fires
728,analcatdata_supreme,4052.0,8.0,2.0,32416.0,binaryClass,0.30379676818847656,success,data/spark/datasets_parquet/728_analcatdata_supreme
1547,autoUniv-au1-1000,1000.0,21.0,2.0,21000.0,Class,0.24383091926574707,success,data/spark/datasets_parquet/1547_autoUniv-au1-1000
997,balance-scale,625.0,5.0,2.0,3125.0,binaryClass,0.21112632751464844,success,data/spark/datasets_parquet/997_balance-scale
914,balloon,2001.0,2.0,2.0,4002.0,binaryClass,0.14669299125671387,success,data/spark/datasets_parquet/914_balloon
1460,banana,5300.0,3.0,2.0,15900.0,Class,0.15796875953674316,success,data/spark/datasets_parquet/1460_banana
44405,bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,8.0,2.0,16000.0,Class,0.25582242012023926,success,data/spark/datasets_parquet/44405_bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True
1462,banknote-authentication,1372.0,5.0,2.0,6860.0,Class,0.13009858131408691,success,data/spark/datasets_parquet/1462_banknote-authentication
44597,blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,748.0,5.0,2.0,3740.0,Class,0.2099447250366211,success,data/spark/datasets_parquet/44597_blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True
778,bodyfat,252.0,15.0,2.0,3780.0,binaryClass,0.21015405654907227,success,data/spark/datasets_parquet/778_bodyfat
15,breast-w,699.0,10.0,2.0,6990.0,Class,0.13396692276000977,success,data/spark/datasets_parquet/15_breast-w
44362,california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,9.0,2.0,18000.0,price,0.25417566299438477,success,data/spark/datasets_parquet/44362_california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
820,chatfield_4,235.0,13.0,2.0,3055.0,binaryClass,0.14545607566833496,success,data/spark/datasets_parquet/820_chatfield_4
909,chscase_census2,400.0,8.0,2.0,3200.0,binaryClass,0.1559610366821289,success,data/spark/datasets_parquet/909_chscase_census2
40994,climate-model-simulation-crashes,540.0,21.0,2.0,11340.0,outcome,0.14174938201904297,success,data/spark/datasets_parquet/40994_climate-model-simulation-crashes
44377,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,11.0,2.0,22000.0,Y,0.15591073036193848,success,data/spark/datasets_parquet/44377_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44346,credit,2000.0,11.0,2.0,22000.0,SeriousDlqin2yrs,0.25476932525634766,success,data/spark/datasets_parquet/44346_credit
46535,dataset_credit-approval,690.0,16.0,2.0,11040.0,class,0.2571415901184082,success,data/spark/datasets_parquet/46535_dataset_credit-approval
803,delta_ailerons,7129.0,6.0,2.0,42774.0,binaryClass,0.1560683250427246,success,data/spark/datasets_parquet/803_delta_ailerons
46876,depression_2020,1429.0,21.0,2.0,30009.0,depressed,0.2663607597351074,success,data/spark/datasets_parquet/46876_depression_2020
37,diabetes,768.0,9.0,2.0,6912.0,class,0.13955020904541016,success,data/spark/datasets_parquet/37_diabetes
931,disclosure_z,662.0,4.0,2.0,2648.0,binaryClass,0.12956762313842773,success,data/spark/datasets_parquet/931_disclosure_z
45604,dummy,1000.0,7.0,2.0,7000.0,y,0.12739992141723633,success,data/spark/datasets_parquet/45604_dummy
40671,ecoli,327.0,8.0,5.0,2616.0,class,0.12589144706726074,success,data/spark/datasets_parquet/40671_ecoli
44376,electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,8.0,2.0,16000.0,class,0.13991713523864746,success,data/spark/datasets_parquet/44376_electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True
44423,eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,21.0,2.0,42000.0,label,0.29729676246643066,success,data/spark/datasets_parquet/44423_eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
46764,football-player-position,3611.0,12.0,4.0,43332.0,class,0.3289601802825928,success,data/spark/datasets_parquet/46764_football-player-position
832,fri_c3_250_25,250.0,26.0,2.0,6500.0,binaryClass,0.1348111629486084,success,data/spark/datasets_parquet/832_fri_c3_250_25
1005,glass,214.0,10.0,2.0,2140.0,binaryClass,0.12405991554260254,success,data/spark/datasets_parquet/1005_glass
53,heart-statlog,270.0,14.0,2.0,3780.0,class,0.19844269752502441,success,data/spark/datasets_parquet/53_heart-statlog
46851,hepatitis_c_virus_hcv_for_egyptian_patients,1385.0,29.0,4.0,40165.0,Baselinehistological_staging,0.31158018112182617,success,data/spark/datasets_parquet/46851_hepatitis_c_virus_hcv_for_egyptian_patients
44389,house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,17.0,2.0,34000.0,binaryClass,0.14237284660339355,success,data/spark/datasets_parquet/44389_house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True
41945,ilpd-numeric,583.0,11.0,2.0,6413.0,Class,0.20517992973327637,success,data/spark/datasets_parquet/41945_ilpd-numeric
59,ionosphere,351.0,35.0,2.0,12285.0,class,0.22735834121704102,success,data/spark/datasets_parquet/59_ionosphere
1048,jEdit_4.2_4.3,369.0,9.0,2.0,3321.0,Bug-count,0.19801831245422363,success,data/spark/datasets_parquet/1048_jEdit_4_2_4_3
44720,jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,7.0,3.0,14000.0,class,0.23443865776062012,success,data/spark/datasets_parquet/44720_jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True
44632,kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,22.0,2.0,44000.0,defects,0.31218457221984863,success,data/spark/datasets_parquet/44632_kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True
44392,kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,21.0,2.0,42000.0,binaryClass,0.2884082794189453,success,data/spark/datasets_parquet/44392_kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
733,machine_cpu,209.0,7.0,2.0,1463.0,binaryClass,0.16491198539733887,success,data/spark/datasets_parquet/733_machine_cpu
46842,maternal_health_risk,1014.0,7.0,3.0,7098.0,RiskLevel,0.22687435150146484,success,data/spark/datasets_parquet/46842_maternal_health_risk
46879,mental_health_detection,540.0,15.0,4.0,8100.0,Depression_State,0.2292649745941162,success,data/spark/datasets_parquet/46879_mental_health_detection
962,mfeat-morphological,2000.0,7.0,2.0,14000.0,binaryClass,0.23348283767700195,success,data/spark/datasets_parquet/962_mfeat-morphological
880,mu284,284.0,11.0,2.0,3124.0,binaryClass,0.19642400741577148,success,data/spark/datasets_parquet/880_mu284
1071,mw1,403.0,38.0,2.0,15314.0,c,0.23691654205322266,success,data/spark/datasets_parquet/1071_mw1
886,no2,500.0,8.0,2.0,4000.0,binaryClass,0.18678498268127441,success,data/spark/datasets_parquet/886_no2
44495,numerai28.6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,22.0,2.0,44000.0,attribute_21,0.1438605785369873,success,data/spark/datasets_parquet/44495_numerai28_6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True
311,oil_spill,937.0,50.0,2.0,46850.0,class,0.30455899238586426,success,data/spark/datasets_parquet/311_oil_spill
1068,pc1,1109.0,22.0,2.0,24398.0,defects,0.24679017066955566,success,data/spark/datasets_parquet/1068_pc1
44127,phoneme,3172.0,6.0,2.0,19032.0,Class,0.13770151138305664,success,data/spark/datasets_parquet/44127_phoneme
750,pm10,500.0,8.0,2.0,4000.0,binaryClass,0.19691824913024902,success,data/spark/datasets_parquet/750_pm10
44386,pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,27.0,2.0,54000.0,binaryClass,0.3321852684020996,success,data/spark/datasets_parquet/44386_pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True
871,pollen,3848.0,6.0,2.0,23088.0,binaryClass,0.1324148178100586,success,data/spark/datasets_parquet/871_pollen
996,prnn_fglass,214.0,10.0,2.0,2140.0,binaryClass,0.11181426048278809,success,data/spark/datasets_parquet/996_prnn_fglass
721,pwLinear,200.0,11.0,2.0,2200.0,binaryClass,0.13455772399902344,success,data/spark/datasets_parquet/721_pwLinear
44601,qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1055.0,42.0,2.0,44310.0,Class,0.2929055690765381,success,data/spark/datasets_parquet/44601_qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True
772,quake,2178.0,4.0,2.0,8712.0,binaryClass,0.12285876274108887,success,data/spark/datasets_parquet/772_quake
717,rmftsa_ladata,508.0,11.0,2.0,5588.0,binaryClass,0.11947441101074219,success,data/spark/datasets_parquet/717_rmftsa_ladata
1499,seeds,210.0,8.0,3.0,1680.0,Class,0.13361191749572754,success,data/spark/datasets_parquet/1499_seeds
958,segment,2310.0,20.0,2.0,46200.0,binaryClass,0.3109142780303955,success,data/spark/datasets_parquet/958_segment
1500,seismic-bumps,210.0,8.0,3.0,1680.0,Class,0.11184573173522949,success,data/spark/datasets_parquet/1500_seismic-bumps
737,space_ga,3107.0,7.0,2.0,21749.0,binaryClass,0.14914870262145996,success,data/spark/datasets_parquet/737_space_ga
841,stock,950.0,10.0,2.0,9500.0,binaryClass,0.11819958686828613,success,data/spark/datasets_parquet/841_stock
770,strikes,625.0,7.0,2.0,4375.0,binaryClass,0.19706034660339355,success,data/spark/datasets_parquet/770_strikes
46873,student_lifestyle_dataset,2000.0,7.0,3.0,14000.0,Stress_Level,0.13117194175720215,success,data/spark/datasets_parquet/46873_student_lifestyle_dataset
44679,sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,21.0,2.0,42000.0,class,0.29045820236206055,success,data/spark/datasets_parquet/44679_sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True
40682,thyroid-new,215.0,6.0,3.0,1290.0,class,0.1882784366607666,success,data/spark/datasets_parquet/40682_thyroid-new
46505,total_score,719.0,11.0,4.0,7909.0,total_score,0.12351560592651367,success,data/spark/datasets_parquet/46505_total_score
1508,user-knowledge,403.0,6.0,5.0,2418.0,Class,0.12099432945251465,success,data/spark/datasets_parquet/1508_user-knowledge
994,vehicle,846.0,19.0,2.0,16074.0,binaryClass,0.24058318138122559,success,data/spark/datasets_parquet/994_vehicle
1524,vertebra-column,310.0,7.0,2.0,2170.0,Class,0.11364626884460449,success,data/spark/datasets_parquet/1524_vertebra-column
860,vinnie,380.0,3.0,2.0,1140.0,binaryClass,0.19845128059387207,success,data/spark/datasets_parquet/860_vinnie
925,visualizing_galaxy,323.0,5.0,2.0,1615.0,binaryClass,0.12381720542907715,success,data/spark/datasets_parquet/925_visualizing_galaxy
1535,volcanoes-b5,9989.0,4.0,5.0,39956.0,Class,0.14758086204528809,success,data/spark/datasets_parquet/1535_volcanoes-b5
1525,wall-robot-navigation,5456.0,3.0,4.0,16368.0,Class,0.12314367294311523,success,data/spark/datasets_parquet/1525_wall-robot-navigation
47155,waveform,800.0,22.0,3.0,17600.0,y,0.12827110290527344,success,data/spark/datasets_parquet/47155_waveform
1510,wdbc,569.0,31.0,2.0,17639.0,Class,0.13596534729003906,success,data/spark/datasets_parquet/1510_wdbc
44492,wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,6.0,2.0,12000.0,class,0.12882351875305176,success,data/spark/datasets_parquet/44492_wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True
44368,wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,2000.0,12.0,2.0,24000.0,quality,0.13547611236572266,success,data/spark/datasets_parquet/44368_wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True
